linkedin_headline,liked_tweets,event_1,event_2,event_3,dwell_times,sku_views,cat_gt_1,cat_gt_2,best_offer_id,user_id
Social Media Manager | Logistics,"['Excited to see how AI is revolutionizing the social media landscape!', 'Just attended an amazing webinar on effective social media strategies. Learned so much!', 'Who else thinks that crafting the perfect hashtag is an art form? 🖌️ #SocialMediaArt']",Visited Homepage,Viewed Product Page,Added to Cart,"[5.7, 12.4, 4.9]","[3, 5, 1]",Electronics,Fashion,OFFER03,12
Supply‑Chain Analyst | Non‑profit,"['Excited to see how technology is transforming logistics! #TechInSupplyChain', 'Impressed by how AI is optimizing distribution networks. The future is now. #AI', ""Incredible insights from today's supply chain conference—so much to learn and implement!""]",view_product,add_to_cart,purchase,"[12.3, 8.5, 4.7]","[5, 3, 1]",Electronics,Books,OFFER05,13
Data Scientist | Culinary Innovations,"[""Just tried the latest AI-driven recipe app and it's a game-changer for home chefs!"", 'Excited to see how machine learning is revolutionizing personalized meal kits.', 'Food tech continues to amaze with new data analytics tools enhancing flavor profiles.']",view_product,add_to_cart,checkout,"[12.5, 4.7, 3.3]","[2, 1, 1]",Food & Grocery,Electronics,OFFER05,14
Revenue Operations Manager | Media,"['Just attended an amazing webinar on the future of media monetization. #MediaIndustry', ""Revenue operations isn't just about numbers—it's about creating sustainable growth strategies. #RevOps"", 'Exploring the intersection of media and technology; the future looks promising. #TechInMedia']",browse_products,view_cart,complete_purchase,"[4.5, 3.2, 5.7]","[3, 5, 2]",Electronics,Books,OFFER05,15
Aerospace Systems Analyst | Robotics,"['Just witnessed an incredible presentation on Mars rover technology. Robotics in action!', 'Thrilled to see the advancements in aerospace AI. The future looks bright!', ""Can't get enough of these drone innovations at the tech expo. Amazing stuff!""]",product_view,add_to_cart,purchase,"[12.5, 8.7, 15.3]","[3, 5, 2]",Electronics,Books,OFFER05,16
Customer Insights Manager | Energy Trading,"[""Absolutely blown away by the neural network's ability to predict market trends! #AI #EnergyTrading"", 'Attended an eye-opening session on how blockchain is revolutionizing the energy sector. Mind=blown! #Blockchain #Innovation', 'The integration of AI in trading platforms is a game-changer. Exciting times ahead! #Fintech #AI']",Browse Home Page,View Product,Add to Cart,"[5.2, 7.8, 3.6]","[2, 4, 1]",Electronics,Books,OFFER05,17
Business Intelligence Lead | Insurance,"['Exploring new frontiers in AI-driven data analytics. Exciting times ahead in the field of business intelligence!', ""Proud to be part of a team that's redefining customer experience in the insurance industry."", 'Just attended a fantastic webinar on predictive analytics - the future looks bright!']",Home Page Visit,Product Page View,Add to Cart,"[5.2, 3.1, 6.8]","[2, 4, 1]",Electronics,Books,OFFER03,18
Full Stack Developer | E‑commerce,"['Excited to dive into the world of AI-driven e-commerce solutions! 🚀', 'Just attended an amazing webinar on enhancing user experience in online shopping. So many great insights! 💡', 'Exploring new frameworks for seamless payment integrations in e-commerce platforms. #TechInnovation']",Product_Search,Product_Detail_View,Add_to_Cart,"[3.5, 4.2, 5.1]","[3, 1, 2]",Electronics,Books,OFFER03,19
Blockchain Developer | Fashion Innovator,"['Excited about the new collection launch! #FashionTech', 'The intersection of blockchain and fashion is truly fascinating.', 'How technology is redefining the fashion industry is mind-blowing!']",view_product,add_to_cart,checkout_initiated,"[5.3, 7.8, 12.5]","[3, 1, 2]",Fashion,Electronics,OFFER04,20
Digital Marketing Strategist | Fashion & Retail,"['Just tried the new coffee shop around the corner—game changer! ☕️ #CoffeeLovers', 'The latest plot twist in my favorite series just blew my mind! 📚 #BookWorm', ""Can't wait for the weekend hiking trip! 🏞️ #NatureLovers""]",search_product,view_details,add_to_cart,"[1.5, 2.7, 3.2]","[5, 3, 8]",Fashion,Books,OFFER05,21
Digital Marketing Specialist | Wellness Industry,"[""Just finished an amazing webinar on the latest trends in e-commerce! Can't wait to implement some of these ideas. #Ecommerce #Innovation"", ""The new UX on this app is incredible. It's so intuitive and user-friendly. Kudos to the design team! #AppDesign #UserExperience"", 'Quick shoutout to all the customer service reps working hard during peak season. Your efforts are truly appreciated! #CustomerService #Gratitude']",Homepage Visit,Product Page View,Add to Cart,"[5.4, 7.8, 2.1]","[3, 5, 2]",Beauty,Health,OFFER05,22
Machine Learning Engineer | Telecom,"[""Excited about the new AI advancements in natural language processing! Can't wait to see what's next. #AI #NLP"", 'Just finished an amazing book on deep learning. Highly recommend it to anyone in the field! #DeepLearning #MachineLearning', ""Attended a fantastic webinar on AI ethics today. It's crucial to consider the implications of our work. #AI #Ethics""]",product_view,add_to_cart,purchase,"[5.4, 3.2, 6.7]","[2, 5, 1]",Electronics,Books,OFFER03,23
Data Scientist | Precision Agriculture Innovator,"['Excited to see how AI is transforming crop yield predictions! #AgriTech', 'Just attended an amazing webinar on data-driven irrigation systems. Game-changer! #AgTech', 'Exploring machine learning models to enhance pest detection. Fascinating stuff! #AgricultureInnovation']",homepage_view,product_page_view,add_to_cart,"[4.5, 7.2, 3.8]","[5, 3, 1]",Electronics,Books,OFFER03,24
Content Marketing Director | Cloud Security,"['Just wrapped up an incredible campaign that increased our client engagement by 50%! #MarketingSuccess', 'Exploring the intersection of technology and creativity in content marketing is key to standing out. #Innovation', ""Cloud security isn't just a trend; it's a necessity in today's digital landscape. Secure your data, secure your future. #CloudSecurity""]",Visited home page,Browsed category,Added to cart,"[5.3, 12.7, 3.8]","[1, 3, 2]",Electronics,Books,OFFER03,25
